Course Title,Rating,Reviews,Level,Skill Outcome,Exact Learning Period
Técnicas Microscópicas de Caracterización free,4.7 stars,735 reviews,Mixed," Data Visualization, Scientific Visualization, Computer Graphic Techniques ",1-3 months
IT-підтримка від Google,4.9 stars,624 reviews,Beginner," Computer Networking, Computer Architecture, Network Architecture ",3-6 months
"Creatividad, diseño e innovación: Técnicas y herramientas specialization",4.7 stars,4k reviews,Beginner," Research and Design, Entrepreneurship, Innovation ",3-6 months
Web of Data,4.1 stars,83 reviews,Intermediate," Cloud Computing, Semantic Web, Data Management ",1 month
Desarrollo de aplicaciones móviles con Android specialization,4.6 stars,1.9k reviews,Intermediate," Android Development, Mobile Development, Application Development ",3-6 months
"Iniciar o processo de design de UX: criar empatia, definir e idealizar",4.9 stars,279 reviews,Beginner," Business Psychology, Human Computer Interaction, Research and Design ",1-3 months
Foundations of Teaching for Learning: Introduction to Student Assessment free,4.8 stars,910 reviews,Mixed," Entrepreneurship, Research and Design, Software Engineering ",1-3 months
Machine Learning Foundations: A Case Study Approach,4.6 stars,13.3k reviews,Mixed," Linear Algebra, Data Mining, Machine Learning ",1-3 months
Building No-Code Apps with AppSheet: Foundations,4.7 stars,111 reviews,Beginner," Application Development, Software Engineering, Business Psychology ",1-3 months
"Spring MVC, Spring Boot  and Rest Controllers",4.2 stars,138 reviews,Intermediate," Computer Programming, Other Web Frameworks, Programming Principles ",1 month
Fintech Startups in Emerging Markets specialization ,4.6 stars,196 reviews,Beginner," Finance, Regulations and Compliance, FinTech ",3-6 months
Preparing for Your Professional Cloud Security Engineer Journey,4.7 stars,68 reviews,Beginner," Security Engineering, Cloud Computing, Computer Networking ",1-3 months
Programming Fundamentals in Swift,4.7 stars,146 reviews,Beginner," Mobile Development, Swift Programming, Data Structures ",1-3 months
Bases de la gestion de projet,4.6 stars,11 reviews,Beginner," Strategy and Operations, Leadership and Management, Project Management ",1 month
Pixel Art for Video Games,4.5 stars,214 reviews,Beginner," Computer Graphics, Graphic Design, Human Computer Interaction ",1-3 months
Principles of Secure Coding,4.4 stars,328 reviews,Intermediate," Computer Programming, Security Engineering, Software Security ",1 month
Cybersecurity in the Cloud specialization ,4.3 stars,116 reviews,Beginner," Security Engineering, Operating Systems, System Security ",3-6 months
Data Pipelines with TensorFlow Data Services,4.4 stars,480 reviews,Intermediate," Data Management, Extract, Transform, Load, Machine Learning ",1 month
Digital Signal Processing 2: Filtering,4.7 stars,163 reviews,Intermediate," Algorithms, Mathematics, Theoretical Computer Science ",1 month
Usable Security,4.6 stars,3.3k reviews,Mixed," Design and Product, Human Computer Interaction, Product Design ",1-3 months
Digital Forensics Concepts,4.8 stars,143 reviews,Intermediate," Computer Networking, Cyberattacks, Security Engineering ",1-3 months
Natural Language Processing in Microsoft Azure,4.7 stars,65 reviews,Beginner," Machine Learning, Natural Language Processing, Computer Graphics ",1 month
"Blockchain, Cryptoassets, and Decentralized Finance",4.7 stars,345 reviews,Beginner," BlockChain, Finance, FinTech ",1 month
Introduction to APIs in Google project ,3.2 stars,11 reviews,Beginner," Cloud Computing, Cloud Storage, Computer Programming ",1 month
Command Line Basics in Linux guided project ,4.6 stars,268 reviews,Beginner," Computer Programming, Computer Programming Tools, Human Computer Interaction ",1 month
Build a Full Stack App using React and Express guided project ,4.4 stars,10 reviews,Intermediate," Computer Architecture, Computer Programming, Computer Programming Tools ",1 month
Jazz Improvisation,4.8 stars,778 reviews,Intermediate," Creativity, Entrepreneurship, Research and Design ",1-3 months
Converter Circuits,4.8 stars,1.3k reviews,Intermediate," Research and Design, Computer Architecture, Entrepreneurship ",1 month
Managing Google Workspace,4.7 stars,925 reviews,Beginner," Computer Programming, Leadership and Management, Computer Programming Tools ",1 month
Build Your Portfolio Website with HTML and CSS guided project ,4.5 stars,1.9k reviews,Beginner," HTML and CSS, Web Development, Web Design ",1 month
Creating Behavioral Change,4.8 stars,93 reviews,Beginner," Advertising, Communication, Design and Product ",1 month
Cypress UI automation testing for absolute beginners guided project ,4.4 stars,26 reviews,beginner," Computer Programming, Computer Programming Tools, Javascript ",1 month
Building Web Applications in PHP,4.7 stars,4.1k reviews,Intermediate," Web Development, Other Web Programming Languages, HTML and CSS ",1-3 months
Robotics: Perception,4.3 stars,639 reviews,Intermediate," Mathematics, Geometry, Computer Vision ",1 month
Analyzing Big Data with SQL,4.9 stars,515 reviews,Beginner," Data Management, Databases, SQL ",1-3 months
Windows OS Forensics,4.7 stars,45 reviews,Intermediate," Computer Security Incident Management, Security Engineering ",1-3 months
Reviews & Metrics for Software Improvements,4.7 stars,1.6k reviews,Mixed," Software Engineering, Agile Software Development, Application Development ",1 month
Cloud Computing Law: Data Protection and Cybersecurity,5.0 stars,33 reviews,Beginner," Cloud Computing, Computer Networking, Network Security ",1 month
GIS Data Acquisition and Map Design,4.9 stars,621 reviews,Beginner," ArcGIS, Data Visualization, Statistical Programming ",1-3 months
Secure Full Stack MEAN Developer,4.6 stars,47 reviews,Beginner," Web Development, Full-Stack Web Development, Angular ",1-3 months
Interactivity with JavaScript,4.7 stars,7.1k reviews,Mixed," Computer Programming, Javascript, Web Development ",1 month
FPGA Capstone:  Building FPGA Projects,4.8 stars,16 reviews,Intermediate," Hardware Design, Computer Architecture, Distributed Computing Architecture ",1 month
FPGA Softcore Processors and IP Acquisition,4.0 stars,73 reviews,Intermediate," Computer Architecture, Hardware Design, Computer Graphics ",1 month
Machine Learning Capstone,4.3 stars,29 reviews,Intermediate," Machine Learning, Probability & Statistics, Applied Machine Learning ",1-3 months
Agile Planning for Software Products,4.8 stars,2k reviews,Mixed," Agile Software Development, Design and Product, Entrepreneurship ",1 month
Road to the CISO – Culminating Project Course,5.0 stars,15 reviews,Intermediate," Accounting, Audit, Computer Networking ",1-3 months
Risk Management: Use of Access Controls to Protect Assets,5.0 stars,23 reviews,Beginner," Computer Networking, Computer Security Incident Management, Finance ",1-3 months
Java for Android,4.5 stars,3k reviews,Beginner," Java Programming, Computer Programming, Android Development ",1-3 months
Creating New BigQuery Datasets and Visualizing Insights,4.6 stars,1.7k reviews,Beginner," Computer Architecture, Data Management, Databases ",1-3 months
Introducción al desarrollo web,4.6 stars,133 reviews,Beginner," HTML and CSS, Web Development, Web Design ",1-3 months
"Writing, Running, and Fixing Code in C",4.3 stars,757 reviews,Beginner," C Programming Language Family, Computer Programming, Computer Science ",1 month
Web Application Security Testing with OWASP ZAP guided project ,4.2 stars,273 reviews,Intermediate," Computer Networking, Computer Programming, Cyberattacks ",1 month
Computational Social Science Methods,4.7 stars,313 reviews,Beginner," Machine Learning, Research and Design, Strategy and Operations ",1 month
Introduction to Blockchain for Global Commerce,4.7 stars,20 reviews,Beginner," Finance, BlockChain, FinTech ",1-3 months
Get Started with Figma guided project ,4.2 stars,507 reviews,Beginner," Business Psychology, Human Computer Interaction, Research and Design ",1 month
Automatic Machine Learning with H2O AutoML and Python guided project ,4.8 stars,138 reviews,Intermediate," Computer Programming, Machine Learning, Machine Learning Software ",1 month
Cómo Invertir en Cripto free,4.8 stars,80 reviews,Beginner," Finance, BlockChain, Cryptography ",1-3 months
Desarrollo de software Agile,4.9 stars,34 reviews,Intermediate," Agile Software Development, Software Engineering, Project Management ",1 month
Google Workspace Security,4.7 stars,750 reviews,Beginner," Operating Systems, Security Engineering, System Security ",1 month
Essential Google Cloud Infrastructure: Foundation,4.7 stars,16.5k reviews,Intermediate," Cloud Computing, Google Cloud Platform, Computer Networking ",1 month
The Business of Product Management II,4.7 stars,198 reviews,Beginner," Entrepreneurship, Leadership and Management, Marketing ",1 month
Arduino y algunas aplicaciones free,4.6 stars,571 reviews,Mixed," Computer Architecture, Computer Graphics, Computer Networking ",1 month
Building Resilient Streaming Analytics Systems on Google Cloud,4.6 stars,1.2k reviews,Intermediate," Computer Architecture, Distributed Computing Architecture, Cloud Computing ",1-3 months
JSON and Natural Language Processing in PostgreSQL,4.6 stars,110 reviews,Intermediate," Computer Programming, Machine Learning, Statistical Programming ",1 month
Electrones en Acción: Electrónica y Arduinos para tus propios Inventos free,4.8 stars,2.4k reviews,Mixed," Virtual Reality, Computer Programming, Computer Architecture ",1 month
Front-End Development Capstone Project new,5.0 stars,-,Advanced," React (web framework), Web Development ",1-3 months
Introdução ao Teste de Software free,4.8 stars,440 reviews,Beginner," Software Engineering, Software Testing ",1-3 months
Introduzione alla Storia dell'Architettura Contemporanea free,4.8 stars,165 reviews,Beginner," Business Psychology, Culture, Design and Product ",1 month
Spring - Ecosystem and Core,3.7 stars,261 reviews,Intermediate," Computer Programming, Java Programming, Other Web Frameworks ",1 month
"Smart Analytics, Machine Learning, and AI on Google Cloud",4.6 stars,1.2k reviews,Intermediate," Machine Learning, Cloud Computing, Cloud Platforms ",1-3 months
Device-based Models with TensorFlow Lite,4.7 stars,598 reviews,Intermediate," Applied Machine Learning, Machine Learning, Mobile Development ",1 month
New Technologies for Business Leaders free,4.4 stars,369 reviews,Intermediate," Change Management, Leadership and Management, Strategy and Operations ",1-3 months
Scrum Master Certification Exam Preparation,4.1 stars,33 reviews,Beginner," Agile Software Development, Scrum (Software Development), Software Engineering ",1 month
Introduction to Docker : The Basics guided project ,4.4 stars,203 reviews,Beginner," DevOps, Docker (Software), Software Engineering ",1 month
Data Structures & Backend with Java new,4.0 stars,5 reviews,Advanced," Computer Programming, Java Programming, Javascript ",1 month
Data Structures and Performance,4.8 stars,2.2k reviews,Intermediate," Data Structures, Theoretical Computer Science, Java Programming ",1-3 months
Introdução ao Controle de Sistemas free,4.9 stars,1.1k reviews,Mixed," Mathematics, Mathematical Theory & Analysis, Operating Systems ",1 month
Security Governance & Compliance,4.6 stars,117 reviews,Mixed," Cloud Computing, Cloud Infrastructure, Computer Architecture ",1 month
React Native,4.8 stars,137 reviews,Intermediate," Mobile Development, React (web framework), Mobile Development Tools ",1-3 months
Robotics: Computational Motion Planning,4.3 stars,1k reviews,Mixed," Theoretical Computer Science, Algorithms, Data Analysis ",1 month
Equivalent Circuit Cell Model Simulation,4.7 stars,506 reviews,Intermediate," Computer Programming, Data Analysis, Mathematics ",1-3 months
Intro to Digital Manufacturing with Autodesk Fusion 360,4.6 stars,3.4k reviews,Beginner," Design and Product, Algorithms, Other Cloud Platforms and Tools ",1 month
"Securing Software, Data and End Points",4.8 stars,16 reviews,Beginner," Communication, Computer Networking, Network Security ",1-3 months
Preparar os Dados para Exploração,4.8 stars,259 reviews,Beginner," Computer Architecture, Computer Programming, Data Management ",1-3 months
More C# Programming and Unity,4.8 stars,573 reviews,Intermediate," Computer Programming, Software Engineering, Other Programming Languages ",1 month
علم النجاح: ما يجب أن تعرفه من الباحثين free,4.8 stars,116 reviews,Beginner," Business Psychology, Entrepreneurship, Human Learning ",1-3 months
"Coding for Designers, Managers, & Entrepreneurs II",4.3 stars,15 reviews,Beginner," Web Development, Computer Programming, Javascript ",1 month
Technology Strategy: Creative Destruction,4.8 stars,28 reviews,Intermediate," Entrepreneurship, Research and Design, Innovation ",1 month
Game Design and Development 3: 3D Shooter,4.8 stars,45 reviews,Intermediate," Game Theory, Mathematics, Software Engineering ",1 month
Advanced Deployment Scenarios with TensorFlow,4.8 stars,465 reviews,Advanced," Machine Learning, Tensorflow, Applied Machine Learning ",1 month
Design Thinking: Ideas to Action,4.6 stars,19 reviews,Beginner," Design and Product, Human Computer Interaction, Entrepreneurship ",1-3 months
Digital Forensics Essentials (DFE),4.8 stars,33 reviews,Beginner," Security Engineering, Computer Networking, Network Security ",1-3 months
Java for Beginners: Getting Started guided project ,4.4 stars,7 reviews,Beginner," Computer Programming, Java Programming, Mobile Development ",1 month
Systems and Application Security,4.8 stars,142 reviews,Beginner," Marketing, Operating Systems, Security Engineering ",1-3 months
Learn Object-Oriented Programming with PHP guided project ,4.7 stars,20 reviews,Intermediate," Computer Programming, Other Programming Languages, Programming Principles ",1 month
Cyber Attack Countermeasures,4.8 stars,648 reviews,Intermediate," Security Engineering, Cryptography, Operating Systems ",1 month
Juniper Networks Junos Platform Automation and DevOps specialization ,4.1 stars,16 reviews,Beginner," Computer Programming, Software Architecture, Software Engineering ",1 month
Real-Time Embedded Systems Concepts and Practices,3.7 stars,52 reviews,Intermediate," Operating Systems, Theoretical Computer Science, Systems Design ",1 month
Introduction to Cybersecurity Foundations,4.7 stars,344 reviews,Beginner," Cloud Computing, Cloud Infrastructure, Computer Networking ",1 month
AWS Fundamentals: Addressing Security Risk,4.4 stars,3k reviews,Beginner," Amazon Web Services, Cloud Computing, Information Technology ",1 month
Preparing for AI-900: Microsoft Azure AI Fundamentals exam,4.7 stars,58 reviews,Beginner," Cloud Computing, Machine Learning, Natural Language Processing ",1 month
Ley de protección de datos. Conoce tus derechos free,4.8 stars,59 reviews,Beginner," Data Management, Security Engineering, Computer Networking ",1-3 months
Preparing for the Google Cloud Professional Data Engineer Exam,4.6 stars,965 reviews,Advanced," Information Technology, Cloud Computing, Cloud Engineering ",1-3 months
Data Science Fundamentals specialization ,4.3 stars,178 reviews,Beginner," Probability & Statistics, Data Analysis, General Statistics ",3-6 months
"Introduction to CAD, CAM, and Practical CNC Machining",4.8 stars,805 reviews,Advanced," Entrepreneurship, Algorithms, Product Lifecycle ",1 month
Life 101: Mental and Physical Self-Care,4.8 stars,178 reviews,Beginner," Leadership and Management, Machine Learning, Accounting ",1-3 months
"Build Website with HTML, JavaScript, AngularJS, and React new specialization ",4.7 stars,-,Beginner," Computer Programming, Javascript, Programming Principles ",1-3 months
Google Cloud Infrastructure for AWS Professionals new specialization ,4.7 stars,1.7k reviews,Intermediate," Big Data, Cloud API, Cloud Applications ",1-3 months
Java Enterprise Edition specialization ,4.5 stars,69 reviews,Intermediate," Other Web Frameworks, Software Architecture, Software Engineering ",1-3 months
WhatsApp Business Platform for Developers free,4.6 stars,48 reviews,Intermediate," Cloud API, Cloud Computing, Cloud Applications ",1 month
Talend Data Integration Certification Preparation training,4.7 stars,43 reviews,Intermediate," Data Management, Extract, Transform, Load, Software Architecture ",1 month
Introducción al control de versiones con Git y GitHub,4.6 stars,21 reviews,Beginner," Application Development, Computer Programming, Computer Programming Tools ",1 month
How Music Can Change Your Life free,4.7 stars,160 reviews,Beginner," Communication, Computer Graphics, Human Computer Interaction ",1-3 months
Improving Immunity Based on Traditional Eastern Exercises free,4.5 stars,67 reviews,Beginner," Probability & Statistics, Design and Product, Entrepreneurship ",1-3 months
Cloud Operations on AWS,4.8 stars,15 reviews,Beginner," Cloud Computing, Theoretical Computer Science, Amazon Web Services ",1 month
Design Thinking and Global Startup,4.7 stars,98 reviews,Advanced," Entrepreneurship, Leadership and Management, Problem Solving ",1-3 months
Aruba Network Security Basics,4.9 stars,9 reviews,Beginner," Computer Networking, Network Security, Security Engineering ",1 month
Systems Science and Obesity,4.6 stars,194 reviews,Beginner," Communication, Computer Programming, Entrepreneurship ",1 month
