Course Title,Rating,Reviews,Organization,Level,Skill Outcome,Exact Learning Period,link,,,,,,,,,,
Software Engineering: Software Design and Project Management,4.6 stars,72 reviews,Software Engineering: Software Design and Project Management course by The Hong Kong University of Science and Technology,Intermediate," Theoretical Computer Science, Operating Systems, Software Engineering ",1-3 months,/learn/software-engineering-software-design-and-project-management,,,,,,,,,,0
Build a computer vision app with Azure Cognitive Services guided project ,4.5 stars,94 reviews,Build a computer vision app with Azure Cognitive Services guided project by Microsoft,Intermediate," Brand Management, Cloud API, Cloud Computing ",1 month,/projects/build-a-computer-vision-app-with-azure-cognitive-services,,,,,,,,,,0
"Data Engineering, Big Data and ML on Google Cloud en Español specialization ",4.7 stars,751 reviews,Data Engineering,Intermediate," Applied Machine Learning, Big Data, Business Analysis ",3-6 months,/specializations/gcp-data-machine-learning-es,,,,,,,,,,0
Engineering Practices for Building Quality Software,4.5 stars,310 reviews,Engineering Practices for Building Quality Software course by University of Minnesota,Intermediate," Software Engineering, Continuous Delivery, Continuous Integration ",1-3 months,/learn/engineering-practices-secure-software-quality,,,,,,,,,,0
Using Rapid Prototyping in the Engineering Design Process new,5.0 stars,-,Using Rapid Prototyping in the Engineering Design Process new course by Arizona State University,Beginner,  ,1 month,/learn/using-rapid-prototyping-in-the-engineering-design-process,,,,,,,,,,0
Cloud Machine Learning Engineering and MLOps,4.5 stars,64 reviews,Cloud Machine Learning Engineering and MLOps course by Duke University,Intermediate," Machine Learning, DevOps, Cloud Computing ",1 month,/learn/cloud-machine-learning-engineering-mlops-duke,,,,,,,,,,0
Mastering the Software Engineering Interview,4.6 stars,552 reviews,Mastering the Software Engineering Interview course by University of California San Diego,Intermediate," Entrepreneurship, Communication, Computer Programming ",1-3 months,/learn/cs-tech-interview,,,,,,,,,,0
Introduction to Public Health Engineering in Humanitarian Contexts free,4.7 stars,347 reviews,Introduction to Public Health Engineering in Humanitarian Contexts free course by École Polytechnique Fédérale de Lausanne,Beginner," Leadership and Management, Operating Systems, Supply Chain and Logistics ",1-3 months,/learn/engineering-humanitarian,,,,,,,,,,0
Engineering Maintainable Android Apps,4.5 stars,278 reviews,Engineering Maintainable Android Apps course by Vanderbilt University,Mixed," Mobile Development, Android Development, Mobile Development Tools ",1-3 months,/learn/engineeringandroidapps,,,,,,,,,,0
Master of Computer and Information Technology degree ,-,-,Master of Computer and Information Technology degree by University of Pennsylvania,-," Theoretical Computer Science, Computer Programming, Databases ",1 month,/degrees/mcit-penn,,,,,,,,,,0
Master of Computer Science (feat. Data Science Track) degree ,-,-,Master of Computer Science (feat. Data Science Track) degree by University of Illinois at Urbana-Champaign,-,-,1 month,/degrees/master-of-computer-science-illinois,,,,,,,,,,0
Master of Science in Computer Science degree ,-,-,Master of Science in Computer Science degree by University of Colorado Boulder,-," Theoretical Computer Science, Probability & Statistics, General Statistics ",1 month,/degrees/ms-computer-science-boulder,,,,,,,,,,0
Master of Engineering in Engineering Management degree ,-,-,Master of Engineering in Engineering Management degree by University of Colorado Boulder,-," Theoretical Computer Science, Probability & Statistics, General Statistics ",1 month,/degrees/me-engineering-management-boulder,,,,,,,,,,0
Master of Science in Software Engineering degree ,-,-,Master of Science in Software Engineering degree by West Virginia University,-," Network Security, Risk Management ",1 month,/degrees/ms-software-engineering-wvu,,,,,,,,,,0
Master of Computer Science degree ,-,-,Master of Computer Science degree by Arizona State University,-," Theoretical Computer Science, Machine Learning, Software Engineering ",1 month,/degrees/master-of-computer-science-asu,,,,,,,,,,0
Master of Science in Electrical Engineering degree ,-,-,Master of Science in Electrical Engineering degree by University of Colorado Boulder,-," Theoretical Computer Science, Probability & Statistics, General Statistics ",1 month,/degrees/msee-boulder,,,,,,,,,,0
Engineering Management Graduate Certificate graduate certificate ,-,-,Engineering Management Graduate Certificate graduate certificate by University of Colorado Boulder,-," Leadership and Management, Finance, Strategy and Operations ",1 month,/certificates/engineering-management-boulder,,,,,,,,,,0
Graduate Diploma in Computer Science graduate certificate ,-,-,Graduate Diploma in Computer Science graduate certificate by University of London,-," Databases, Statistical Programming, Data Management ",1 month,/certificates/graduate-diploma-computer-science-london,,,,,,,,,,0
Graduate Certificate in Computer Science graduate certificate ,-,-,Graduate Certificate in Computer Science graduate certificate by University of London,-," Computer Programming, C Programming Language Family, C++ Programming ",1 month,/certificates/graduate-certificate-computer-science-london,,,,,,,,,,0
Google Cybersecurity new,4.8 stars,9.3k reviews,Google Cybersecurity new professional certificate by Google,Beginner," Security Engineering, Computer Networking, Network Security ",3-6 months,/professional-certificates/google-cybersecurity,,,,,,,,,,0
Google Data Analytics,4.8 stars,124.8k reviews,Google Data Analytics professional certificate by Google,Beginner," Data Analysis, SQL, Spreadsheet Software ",3-6 months,/professional-certificates/google-data-analytics,,,,,,,,,,0
Google IT Support,4.8 stars,176.4k reviews,Google IT Support professional certificate by Google,Beginner," Operating Systems, Computer Networking, System Software ",3-6 months,/professional-certificates/google-it-support,,,,,,,,,,0
IBM Data Science,4.6 stars,115k reviews,IBM Data Science professional certificate by IBM,Beginner," Python Programming, Data Science, Data Analysis ",3-6 months,/professional-certificates/ibm-data-science,,,,,,,,,,0
Google UX Design,4.8 stars,69.3k reviews,Google UX Design professional certificate by Google,Beginner," Human Computer Interaction, User Experience, User Experience Design ",3-6 months,/professional-certificates/google-ux-design,,,,,,,,,,0
IBM Data Analyst,4.6 stars,68.2k reviews,IBM Data Analyst professional certificate by IBM,Beginner," Data Analysis, Python Programming, Data Visualization ",3-6 months,/professional-certificates/ibm-data-analyst,,,,,,,,,,0
Machine Learning specialization ,4.9 stars,15k reviews,Machine Learning specialization by DeepLearning.AI,Beginner," Machine Learning, Probability & Statistics, Machine Learning Algorithms ",1-3 months,/specializations/machine-learning-introduction,,,,,,,,,,0
Introduction to Data Science specialization ,4.6 stars,82.7k reviews,Introduction to Data Science specialization by IBM,Beginner," Data Science, SQL, Databases ",3-6 months,/specializations/introduction-data-science,,,,,,,,,,0
Deep Learning specialization ,4.8 stars,140.4k reviews,Deep Learning specialization by DeepLearning.AI,Intermediate," Deep Learning, Machine Learning, Artificial Neural Networks ",3-6 months,/specializations/deep-learning,,,,,,,,,,0
IBM Applied AI,4.6 stars,45.4k reviews,IBM Applied AI professional certificate by IBM,Beginner," Machine Learning, Cloud Computing, IBM Cloud ",3-6 months,/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,,,,,,,,,,0
IBM Back-End Development,4.6 stars,35.2k reviews,IBM Back-End Development professional certificate by IBM,Beginner," Software Engineering, Computer Programming, Web Development ",3-6 months,/professional-certificates/ibm-backend-development,,,,,,,,,,0
Generative AI with Large Language Models new,4.8 stars,694 reviews,Generative AI with Large Language Models new course by DeepLearning.AI,Intermediate," Advertising, Communication, Computer Programming ",1 month,/learn/generative-ai-with-llms,,,,,,,,,,0
Google Advanced Data Analytics new,4.7 stars,1.4k reviews,Google Advanced Data Analytics new professional certificate by Google,Advanced," Data Analysis, Probability & Statistics, Business Analysis ",3-6 months,/professional-certificates/google-advanced-data-analytics,,,,,,,,,,0
Foundations of Cybersecurity new,4.9 stars,7.2k reviews,Foundations of Cybersecurity new course by Google,Beginner," Computer Networking, Network Security, Security Engineering ",1 month,/learn/foundations-of-cybersecurity,,,,,,,,,,0
"DevOps, Cloud, and Agile Foundations specialization ",4.7 stars,6.7k reviews,DevOps,Beginner," DevOps, Cloud Computing, Software Engineering ",3-6 months,/specializations/devops-cloud-and-agile-foundations,,,,,,,,,,0
Meta Front-End Developer,4.7 stars,12.2k reviews,Meta Front-End Developer professional certificate by Meta,Beginner," Web Development, Front-End Web Development, React (web framework) ",3-6 months,/professional-certificates/meta-front-end-developer,,,,,,,,,,0
Microsoft Cybersecurity Analyst new,4.7 stars,168 reviews,Microsoft Cybersecurity Analyst new professional certificate by Microsoft,Beginner," Cloud Computing, Communication, Computer Architecture ",3-6 months,/professional-certificates/microsoft-cybersecurity-analyst,,,,,,,,,,0
IBM IT Project Manager new,4.8 stars,1.8k reviews,IBM IT Project Manager new professional certificate by SkillUp EdTech,Beginner," Software Engineering, Agile Software Development, Software Engineering Tools ",3-6 months,/professional-certificates/ibm-it-project-manager,,,,,,,,,,0
Cloud Application Development Foundations specialization ,4.6 stars,5.4k reviews,Cloud Application Development Foundations specialization by IBM,Beginner," Cloud Computing, Web Development, IBM Cloud ",3-6 months,/specializations/ibm-cloud-application-development-foundations,,,,,,,,,,0
IBM IT Support,4.7 stars,5.7k reviews,IBM IT Support professional certificate by IBM,Beginner," Computer Networking, Cloud Computing, Customer Success ",3-6 months,/professional-certificates/ibm-technical-support,,,,,,,,,,0
IBM Front-End Developer new,4.5 stars,2.5k reviews,IBM Front-End Developer new professional certificate by IBM,Beginner," Software Engineering, Web Development, Cloud Computing ",3-6 months,/professional-certificates/ibm-frontend-developer,,,,,,,,,,0
Google IT Automation with Python,4.7 stars,40.4k reviews,Google IT Automation with Python professional certificate by Google,Beginner," Computer Programming, Python Programming, Cloud Computing ",3-6 months,/professional-certificates/google-it-automation,,,,,,,,,,0
Information Technology (IT) and Cloud Fundamentals specialization ,4.7 stars,5.3k reviews,Information Technology (IT) and Cloud Fundamentals specialization by IBM,Beginner," Computer Networking, Cloud Computing, Security Engineering ",3-6 months,/specializations/it-cloud-fundamentals,,,,,,,,,,0
IBM IT Scrum Master new,4.8 stars,3.2k reviews,IBM IT Scrum Master new professional certificate by SkillUp EdTech,Beginner," Software Engineering, DevOps, Agile Software Development ",3-6 months,/professional-certificates/ibm-it-scrum-master,,,,,,,,,,0
IBM Cybersecurity Analyst,4.6 stars,21k reviews,IBM Cybersecurity Analyst professional certificate by IBM,Beginner," Security Engineering, Cyberattacks, Computer Security Incident Management ",3-6 months,/professional-certificates/ibm-cybersecurity-analyst,,,,,,,,,,0
IBM Data Warehouse Engineer,4.7 stars,3.2k reviews,IBM Data Warehouse Engineer professional certificate by IBM,Beginner," Data Management, Databases, SQL ",3-6 months,/professional-certificates/data-warehouse-engineering,,,,,,,,,,0
Meta React Native specialization ,4.7 stars,5.5k reviews,Meta React Native specialization by Meta,Beginner," Web Development, Javascript, Mobile Development ",3-6 months,/specializations/meta-react-native,,,,,,,,,,0
